productId,description,brand,price,size,inventory,fulfillment
"0074236526435","Horizon Organic DHA Omega-3 Milk - DHA 2 Percent Milk","Horizon Organic","7.29","1/2 gal","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0081162002016","fairlife Ultra-Filtered Milk, Lactose Free, High Protein, Whole Milk","Fairlife","5.99","52 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500708","Horizon Organic Grassfed 2 Percent Milk - Reduced Fat Milk","Horizon Organic","7.99","59 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111041660","Kroger® 1% Lowfat Milk Gallon","Kroger","2.99","1 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111041661","Kroger® 1% Lowfat Milk Half Gallon","Kroger","1.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050573","Kroger® 1% Lowfat Chocolate Milk Gallon","Kroger","3.99","1 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111042315","Kroger® Skim Milk Gallon","Kroger","2.99","1 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050574","Kroger 1% Lowfat Chocolate Milk Half Gallon","Kroger","2.79","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111041700","Kroger® 2% Reduced Fat Milk Gallon","Kroger","2.99","1 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500270","Horizon Organic Shelf Stable 1% Lowfat Chocolate Milk","Horizon Organic","14.99","12 ct / 8 fl oz","","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500433","Horizon Organic Shelf Stable 1% Lowfat Strawberry Milk","Horizon Organic","14.99","12 ct / 8 fl oz","","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0074236500432","Horizon Organic Shelf Stable 1% Lowfat DHA Omega-3 Chocolate Milk","Horizon Organic","9.99","6 ct / 8 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236526445","Horizon Organic Vitamin D Whole Milk - Vitamin D Milk","Horizon Organic","6.79","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0009396600586","Organic Valley® Grassmilk® Organic Grassfed 2% Reduced Fat Milk","Organic Valley","7.49","59 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236526402","Horizon Organic Lactose Free Milk - 2% Reduced Fat Milk","Horizon Organic","7.29","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085508800568","Maple Hill 100% Grassfed Organic 2% Reduced Fat Milk","Maple Hill","8.49","59 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236526405","Horizon Organic Vitamin D Nonfat Milk - Vitamin D Milk","Horizon Organic","6.79","1/2 gal","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500434","Horizon Organic Shelf Stable 1% Lowfat Milk","Horizon Organic","14.99","12 ct / 8 fl oz","","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500318","Horizon Organic Shelf Stable 1% Lowfat Vanilla Milk","Horizon Organic","14.99","12 ct / 8 fl oz","","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004138315547","Lactaid® Lactose Free Chocolate Whole Milk Half Gallon","Lactaid","4.99","64 oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050326","Kroger 1% Lowfat Chocolate Milk Quart","Kroger","3.29","1 qt","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0007273023230","Prairie Farms Lactose Free 2% Reduced Fat Milk","Prairie Farms","5.99","1 gal","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0001111050324","Kroger® 1% Lowfat Milk 32 fl. oz. Bottle","Kroger","2.79","1 qt","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050325","Kroger® Fat Free Skim Milk Quart","Kroger","2.79","1 qt","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0081326702007","a2 Milk 2% Reduced Fat Milk 59 fl oz","A2 Milk","4.99","59 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050322","Kroger® Whole Vitamin D Milk 32 fl. oz. Bottle","Kroger","2.79","1 qt","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050323","Kroger® 2% Reduced Fat Milk 32 fl. oz. Bottle","Kroger","2.59","1 qt","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0005200005818","Muscle Milk® Chocolate High Protein Shake Multipack","Muscle Milk","8.99","4 pk / 11 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0007273023117","Prairie Farms® Fat Free Milk","Prairie Farms","5.99","1 gal","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0081326702000","a2 Milk Whole Milk 59 fl oz","A2 Milk","4.99","59 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0005200006820","Muscle Milk® Pro Cookies ‘N Creme High Protein Shake Multipack","Muscle Milk","11.99","4 pk / 11 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0005200006701","Muscle Milk® Pro Strawberries ‘N Creme High Protein Shake Multipack","Muscle Milk","10.99","4 pk / 11 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0007273022306","Prairie Farms 2% Reduced Fat Milk","Prairie Farms","2.89","1 qt","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0009396600998","Organic Valley® Grassmilk® Organic Grassfed Whole Milk","Organic Valley","7.49","59 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111016341","Kroger® CARBMaster® Lactose Free Vanilla Flavored Milk","Kroger Carbmaster","4.99","59 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111043266","Kroger® Whole Chocolate Milk Half Gallon","Kroger","3.09","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111016340","Kroger® CARBMaster® Lactose Free Lowfat Chocolate Milk","Kroger Carbmaster","4.99","59 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050278","Kroger® Skim Fat Free Milk 16 fl. oz. Bottle","Kroger","1.79","1 pt","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004138309073","Lactaid® Lactose-Free Whole Milk","Lactaid","6.99","96 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0007273021202","Prairie Farms® Whole Vitamin D Milk","Prairie Farms","4.19","0.5 gal","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0007273023229","Prairie Farms Lactose Free Whole Milk","Prairie Farms","5.99","1 gal","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0007290400015","Meyenberg Low fat Goat Milk","Meyenberg","6.99","1 quart","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111006991","Kroger® Whole Vitamin D Ultra Pasteurized Milk","Kroger","3.79","59 oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0081547301504","LaLa® Lactose Free 2% Reduced Fat Shelf Stable Milk","LaLa","3.99","1 qt","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236526502","Horizon Organic Growing Years Whole Milk for Kids","Horizon Organic","7.99","59 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0081547301503","LaLa® Whole Milk","LaLa","3.99","1 qt","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111006988","Kroger® 2% Reduced Fat Milk Bottle","Kroger","3.79","59 oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
